,disposition,period,time0bk,impact,duration,depth,prad,teq,insol,model_snr,steff,slogg,srad,ra,dec,kepmag
5764,0,9.94221873,133.84961,1.171,2.4530000000000003,486.5,19.64,754.0,76.56,12.6,5213.0,4.434,0.917,298.64505,42.089851,14.129
5765,0,9.06557317,135.15008999999998,0.43200000000000005,1.6208,243.4,1.46,880.0,141.9,24.9,6075.0,4.51,0.9159999999999999,287.79138,42.574108,14.005
5767,0,7.35390869,132.01828999999998,0.375,2.061,92.9,2.29,1483.0,1141.53,11.1,6385.0,3.868,2.327,298.26663,46.412991,12.865
5768,0,15.7455586,145.54111,0.889,13.877,161.1,1.41,743.0,71.98,37.6,6089.0,4.495,0.95,293.67361,42.666458,13.276
5769,0,0.566796615,131.8009,0.243,1.999,47.8,0.59,2077.0,4426.68,8.5,5858.0,4.553,0.8490000000000001,291.82965,42.737679,15.111
5770,1,8.48651582,138.01698000000002,0.009000000000000001,5.267,110.8,1.34,1060.0,298.03,21.1,6178.0,4.269,1.2670000000000001,296.80344,46.74115,13.573
5771,0,2.189092892,132.08275700000002,1.27,5.1128,1871.5,33.45,1446.0,1034.43,150.7,6106.0,4.487,0.966,285.87708,39.690689,15.741
5772,0,2.40435335,133.22999,0.746,4.07,70.6,3.05,2454.0,8577.88,27.1,6103.0,3.568,3.358,299.70813,40.921909,13.25
5773,0,220.9290121,240.81927,0.826,7.335,2456.5,5.24,299.0,1.89,70.4,5893.0,4.4830000000000005,0.941,296.03668,47.180119,14.707
5774,0,3.1877519,134.418,1.178,14.835999999999999,452.3,19.66,1141.0,400.3,83.2,5532.0,4.489,0.8959999999999999,285.3708200000001,47.946499,14.64
5775,0,10.72396374,357.14874,1.25,3.8439,13518.0,39.84,783.0,88.64,127.7,5582.0,4.445,0.905,296.01447,42.422279,15.613
5776,0,119.67747,415.4806,1.2830000000000001,32.274,3254.1,36.8,379.0,4.9,52.0,6075.0,4.4860000000000015,0.9690000000000001,291.16675,38.78019000000001,15.933
5777,0,185.9526325,288.874323,1.264,3.5964,11107.0,50.98,343.0,3.28,147.3,5813.0,4.33,1.1640000000000001,289.1524,50.253159,14.305
5779,0,41.077590334,173.73589740000003,0.502,6.2058300000000015,134480.0,23.2,346.0,3.37,5518.2,4451.0,4.654,0.62,289.07571,51.757439,11.762
5781,0,63.934965000000005,162.84507,1.217,12.71,1119.5,44.59,525.0,18.0,45.6,5209.0,3.999,1.595,299.59305,43.693089,14.339
5782,0,38.47694570000001,150.56893,0.981,5.825,259.4,4.79,814.0,103.72,18.4,6079.0,3.834,2.1630000000000003,283.19598,43.890968,13.404000000000002
5783,1,37.3228722,152.83532,0.608,7.2146,307.5,35.34,1654.0,1769.88,42.6,4907.0,2.41,19.53,284.51019,43.961658,13.573
5784,0,1.664980224,131.68433000000002,0.987,1.7455,230.8,3.68,1921.0,3223.3,47.6,5792.0,4.058,1.567,296.5268200000001,43.960232,13.831
5785,0,16.609490400000002,147.61311,0.631,3.1889999999999996,272.9,1.82,766.0,81.28,12.7,6047.0,4.395,1.05,300.43979,43.930729,14.925999999999998
5786,0,0.566789505,131.8313,1.03,5.835,54.6,3.37,2038.0,4051.92,12.6,5894.0,4.585,0.784,291.7072100000001,42.61335,15.456
5787,0,2.62982665,132.08013,1.077,6.212999999999999,126.4,17.88,1968.0,3542.64,24.6,6712.0,4.053,1.8459999999999999,293.20831,38.003319,13.395
5788,0,2.69787749,133.65962,0.53,1.915,116.8,1.5,1512.0,1235.14,8.3,5609.0,4.114,1.348,291.69385,38.964069,13.265
5789,0,5.23340265,133.1457,0.366,3.242,242.1,1.15,851.0,124.02,12.7,5266.0,4.6110000000000015,0.741,282.04895,42.871109,15.515999999999998
5790,0,3.51289168,133.79619,0.373,3.313,131.0,1.12,1161.0,429.42,27.3,5523.0,4.395,0.981,295.98465,50.248199,13.76
5791,0,14.092583189,141.14470659999995,0.586,4.1536,530.4,1.82,597.0,30.1,17.8,5081.0,4.596,0.77,291.6595200000001,50.583881,15.753
5792,0,9.087508012999999,137.2042403,0.511,2.7597,140.6,1.37,987.0,224.7,2.5,6078.0,4.297,1.119,292.73621,42.75972,14.172
5793,0,0.65244373,132.05504,0.133,1.4709999999999999,610.7,2.17,1969.0,3546.43,41.8,5638.0,4.488,0.883,292.39539,43.869068,15.665
5794,0,1.3325647040000002,132.04974,1.249,5.9775,1049.5,30.04,1692.0,1945.27,124.0,6046.0,4.4860000000000015,0.972,295.2269,46.772869,14.923
5795,0,2.636899795,132.07629,1.5190000000000001,0.9105,426.2,49.84,1179.0,456.22,27.6,5524.0,4.54,0.847,297.55859,40.63467,14.72
5796,0,0.660629055,131.86099,1.173,5.894,231.6,17.38,2032.0,4040.43,103.3,6024.0,4.55,0.8490000000000001,295.5495,43.047722,13.872
5797,0,0.885123683,131.88646,0.708,3.3865,113.3,1.14,1961.0,3477.17,42.0,5979.0,4.44,0.998,298.83673,43.44302,14.152
